# SL Parsing Summary Log
# Generated: 2025-09-01 19:04:16
# Timestamp: 20250901_190416
📊 Processing Summary:
   ✅ Processed: 232 files
   📁 Output directory: C:\Dev\__RESURREXIT\git\lang\sl\04_chordpro
# Format: FILENAME | TITLE | ROLES | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 038 - JAHVE, TI SI MOJ BOG (Iz 25,1-8).chordpro | JAHVE, TI SI MOJ BOG (Iz 25,1-8) | 7 roles | 16 verses | E7, F, G, a
SL - 039 - ZAPOJMO, ZAPOJMO (2 Mz 15,1-2).chordpro | ZAPOJMO, ZAPOJMO (2 Mz 15,1-2) | 3 roles | 17 verses | A, D, E, E7, H7
SL - 040 - MOJA MOLITEV NAJ PRIDE K TEBI - Ps 118 (119).chordpro | MOJA MOLITEV NAJ PRIDE K TEBI - Ps 118 (119) | 2 roles | 13 verses | E, F, G, a
SL - 041 - GLEJTE, KAKO LEPO JE - Ps 132 (133).chordpro | GLEJTE, KAKO LEPO JE - Ps 132 (133) | 1 roles | 12 verses | C, D, DG, G, H7, a, e, h
SL - 042 - KAKO LEPO JE, KAKŠNO VESELJE - Ps 132 (133).chordpro | KAKO LEPO JE, KAKŠNO VESELJE - Ps 132 (133) | 10 roles | 15 verses | E, F, G, a, d
SL - 043 - POGLEJTE, KAK' DOBRA - Ps 132 (133).chordpro | POGLEJTE, KAK' DOBRA - Ps 132 (133) | 9 roles | 26 verses | C, H7, a, e
SL - 044 - HVALA JAHVEJU - Ps 135 (136).chordpro | HVALA JAHVEJU - Ps 135 (136) | 30 roles | 33 verses | C, D, G, H7, a, e, h
SL - 045 - PESEM TREH MLADENIČEV (Dn 3,52-57).chordpro | PESEM TREH MLADENIČEV (Dn 3,52-57) | 16 roles | 24 verses | A, C, D, E, G, H, H7, e, fis
SL - 046 - PESEM TREH MLADENIČEV (Dn 3,57-88).chordpro | PESEM TREH MLADENIČEV (Dn 3,57-88) | 19 roles | 48 verses | E7, a
SL - 047 - HVALITE GOSPODA IZ NEBES - Ps 148.chordpro | HVALITE GOSPODA IZ NEBES - Ps 148 * | 7 roles | 34 verses | A, fis
SL - 048 - HVALITE BOGA, ALELUJA - Ps 150.chordpro | HVALITE BOGA, ALELUJA - Ps 150 | 7 roles | 17 verses | A, D, E
SL - 049 - GOSPOD JE MOJA LUČ IN REŠITEV - Ps 26 (27).chordpro | GOSPOD JE MOJA LUČ IN REŠITEV - Ps 26 (27) | 6 roles | 20 verses | A7, B, C, G, d, g
SL - 050 - EVENU ŠALOM ALEHEM (Judovska pesem).chordpro | EVENU ŠALOM ALEHEM (Judovska pesem) | 7 roles | 18 verses | A, A7, d, g
SL - 051 - ALELUJA, ŽE PRIHAJA KRALJESTVO (Raz 19,6-9).chordpro | ALELUJA, ŽE PRIHAJA KRALJESTVO (Raz 19,6-9) * | 8 roles | 23 verses | D7, G, H7, e
SL - 052 - ABA, OČE (Rim 8,15-17).chordpro | ABA, OČE (Rim 8,15-17) | 4 roles | 15 verses | C, E, E7, F, G, G7, a, d
SL - 053 - KDO NAS BO LOČIL (Rim 8,33-39).chordpro | KDO NAS BO LOČIL? (Rim 8,33-39) | 8 roles | 28 verses | E, E7, F, G, a
