# SL Parsing Summary Log
# Generated: 2025-08-27 11:43:49
# Timestamp: 20250827_114349
# Format: FILENAME | TITLE | VERSES | CHORDS
--------------------------------------------------------------------------------
SL - 041 - GLEJTE, KAKO LEPO JE - Ps 132 (133).chordpro | GLEJTE, KAKO LEPO JE - Ps 132 (133) | 1 verses | C, D, DG, G, H7, a, e, h
SL - 042 - KAKO LEPO JE, KAKŠNO VESELJE - Ps 132 (133).chordpro | KAKO LEPO JE, KAKŠNO VESELJE - Ps 132 (133) | 9 verses | E, F, G, a, d
SL - 043 - POGLEJTE, KAK' DOBRA - Ps 132 (133).chordpro | POGLEJTE, KAK' DOBRA - Ps 132 (133) | 9 verses | C, H7, a, e
SL - 044 - HVALA JAHVEJU - Ps 135 (136).chordpro | HVALA JAHVEJU - Ps 135 (136) | 29 verses | C, D, G, H7, a, e, h
SL - 045 - PESEM TREH MLADENIÈEV (Dn 3,52-57).chordpro | PESEM TREH MLADENIÈEV (Dn 3,52-57) | 16 verses | A, C, D, E, G, H, H7, e, fis
SL - 046 - PESEM TREH MLADENIÈEV (Dn 3,57-88).chordpro | PESEM TREH MLADENIÈEV (Dn 3,57-88) | 17 verses | E7, a
SL - 047 - HVALITE GOSPODA IZ NEBES - Ps 148.chordpro | HVALITE GOSPODA IZ NEBES - Ps 148 * | 5 verses | A, fis
SL - 048 - HVALITE BOGA, ALELUJA - Ps 150.chordpro | HVALITE BOGA, ALELUJA - Ps 150 | 7 verses | A, D, E
SL - 049 - GOSPOD JE MOJA LUÈ IN REŠITEV - Ps 26 (27).chordpro | GOSPOD JE MOJA LUÈ IN REŠITEV - Ps 26 (27) | 6 verses | A7, B, C, G, d, g
SL - 050 - EVENU ŠALOM ALEHEM (Judovska pesem).chordpro | EVENU ŠALOM ALEHEM (Judovska pesem) | 7 verses | A, A7, d, g
SL - 051 - ALELUJA, ŽE PRIHAJA KRALJESTVO (Raz 19,6-9).chordpro | ALELUJA, ŽE PRIHAJA KRALJESTVO (Raz 19,6-9) * | 8 verses | D7, G, H7, e
SL - 052 - ABA, OÈE (Rim 8,15-17).chordpro | ABA, OÈE (Rim 8,15-17) | 3 verses | C, E, E7, F, G, G7, a, d
SL - 053 - KDO NAS BO LOÈIL (Rim 8,33-39).chordpro | KDO NAS BO LOÈIL? (Rim 8,33-39) | 8 verses | E, E7, F, G, a
SL - 054 - MAGNIFIKAT (Lk 1, 46-55).chordpro | MAGNIFIKAT (Lk 1, 46-55) | 9 verses | A, D, E
SL - 055 - DVIGNIL BOM KELIH ODREŠENJA - Ps 114-115 (116).chordpro | DVIGNIL BOM KELIH ODREŠENJA - Ps 114-115 (116) | 6 verses | A, D, D7, E7, G, e, fis, h
SL - 056 - KO JE GOSPOD - Ps 125 (126).chordpro | KO JE GOSPOD - Ps 125 (126) | 6 verses | A, D, D7, G, e
SL - 057 - ZAHARIJEV HVALOSPEV (Lk 1,68-79).chordpro | ZAHARIJEV HVALOSPEV (Lk 1,68-79) | 7 verses | H7, a, e
SL - 058 - SMRT, KJE JE TVOJA ZMAGA (1 Kor 15).chordpro | SMRT, KJE JE TVOJA ZMAGA? (1 Kor 15) | 10 verses | C, D, F, G, H, d, e, g
SL - 059 - NEBESA, ROSITE Z VIŠAVE (Iz 45,8).chordpro | NEBESA, ROSITE Z VIŠAVE (Iz 45,8) | 17 verses | E, E7, F, G, a
SL - 060 - BINKOŠTI.chordpro | BINKOŠTI | 6 verses | A, A7, B, C, F, G, d
SL - 061 - GLEJ, PRIDEM KMALU (Raz 22,12-16).chordpro | GLEJ, PRIDEM KMALU (Raz 22,12-16) | 4 verses | A, CIS, E, H7, fis
SL - 062 - PRIDI, SIN ÈLOVEKOV (Raz 22,17).chordpro | PRIDI, SIN ÈLOVEKOV (Raz 22,17) | 3 verses | C, H7, a, e
SL - 063 - ABRAHAM (1 Mz 18,1-5).chordpro | ABRAHAM (1 Mz 18,1-5) | 4 verses | E, F, G, a, d
SL - 064 - MOJZESOV HVALOSPEV (2 Mz 15,1-18).chordpro | MOJZESOV HVALOSPEV (2 Mz 15,1-18) | 16 verses | A7, C7, D7, F, G7
SL - 065 - NE BOŠ PUSTIL MOJEGA ŽIVLJENJA V GROBU - Ps 15 (16).chordpro | NE BOŠ PUSTIL MOJEGA ŽIVLJENJA V GROBU - Ps 15 (16) | 5 verses | E, F, a, d
SL - 066 - HVALITE GOSPODA, VSI NARODI ZEMLJE - Ps 116 (117).chordpro | HVALITE GOSPODA, VSI NARODI ZEMLJE - Ps 116 (117) | 4 verses | C, G, H7, a
SL - 067 - KO JE IZRAEL ODŠEL IZ EGIPTA - Ps 113 A (114).chordpro | KO JE IZRAEL ODŠEL IZ EGIPTA - Ps 113 A (114) | 8 verses | A, D, E, F, FIS, G, GIS, H, a, cis, e, fis, h
SL - 068 - VRATA, DVIGNITE - Ps 23 (24).chordpro | VRATA, DVIGNITE - Ps 23 (24) | 28 verses | A, E, G, H, a, e, h
SL - 069 - GOSPOD JE MOJ PASTIR - Ps 22 (23).chordpro | GOSPOD JE MOJ PASTIR - Ps 22 (23) | 10 verses | E, E7, F, G, a
SL - 070 - OB REKAH BABILONSKIH - Ps 136 (137).chordpro | OB REKAH BABILONSKIH - Ps 136 (137) | 5 verses | D, H7, a, e
SL - 071 - MISERERE - Ps 50 (51).chordpro | MISERERE - Ps 50 (51) | 40 verses | a, e
SL - 072 - USMILI SE ME, BOG - Ps 50 (51).chordpro | USMILI SE ME, BOG - Ps 50 (51) | 11 verses | D, a, e
SL - 073 - JEZUS KRISTUS JE GOSPOD (Flp 2,1-11).chordpro | JEZUS KRISTUS JE GOSPOD  (Flp 2,1-11) | 12 verses | C, D, G, H, H7, a, e
SL - 074 - ZDRAVA MARIJA.chordpro | ZDRAVA MARIJA | 2 verses | C, E, F, a, d
SL - 075 - ZDRAVA MARIJA (1984).chordpro | ZDRAVA MARIJA (1984) | 1 verses | C, E, F
SL - 076 - TISTO MESTO PRI MENI.chordpro | TISTO MESTO PRI MENI | 4 verses | A, A7, D, FIS, G, e, fis
SL - 077 - DVIGAM SVOJE OÈI H GORAM - Ps 120 (121).chordpro | DVIGAM SVOJE OÈI H GORAM - Ps 120 (121) | 7 verses | C, D, G, h
SL - 078 - PESEM OSVOBOJENIH (Iz 12,4-6).chordpro | PESEM OSVOBOJENIH (Iz 12,4-6) | 7 verses | C, E, E7, F, G, a
SL - 079 - ÈE DANES SLIŠITE NJEGOV GLAS - Ps 94 (95).chordpro | ÈE DANES SLIŠITE NJEGOV GLAS - Ps 94 (95) | 9 verses | C, E, G, a, d
SL - 080 - PRIDITE, PREPEVAJMO GOSPODU - Ps 94 (95).chordpro | PRIDITE, PREPEVAJMO GOSPODU - Ps 94 (95) | 7 verses | A, A7, D, G, e
SL - 081 - DAJENU.chordpro | DAJENU | 18 verses | C, D, H7, a, e
SL - 082 - K VELIKONOÈNI ŽRTVI.chordpro | K VELIKONOÈNI ŽRTVI | 4 verses | A7, E, F, a, d
SL - 083 - VELIKONOÈNA HVALNICA.chordpro | VELIKONOÈNA HVALNICA | 4 verses | E7, a, d
SL - 084 - PESEM ADVENTNIH HVALNIC.chordpro | PESEM ADVENTNIH HVALNIC | 2 verses | E, a, d
SL - 085 - URI, URI, URA.chordpro | URI, URI, URA | 9 verses | H7, e
SL - 086 - PRIHAJA MOJ BOG.chordpro | PRIHAJA MOJ BOG | 9 verses | H7, e
SL - 087 - AMEN - AMEN - AMEN (Raz 7,12-14).chordpro | AMEN - AMEN - AMEN (Raz 7,12-14) | 7 verses | C, D, D7, G, e, h
SL - 088 - ÈE GOSPOD NE ZIDA HIŠE - Ps 126 (127).chordpro | ÈE GOSPOD NE ZIDA HIŠE - Ps 126 (127) | 8 verses | C, E, F, G, a
SL - 089 - OKUSITE IN SPOZNAJTE - Ps 33 (34).chordpro | OKUSITE IN SPOZNAJTE - Ps 33 (34) | 6 verses | C, C7, H7, a, e
SL - 090 - IZ LJUBEZNI DO SVOJIH BRATOV - PS 121 (122).chordpro | IZ LJUBEZNI DO SVOJIH BRATOV - PS 121 (122) | 10 verses | H7, a, e
SL - 091 - UPAL, UPAL SEM V GOSPODA - Ps 39 (40).chordpro | UPAL, UPAL SEM V GOSPODA - Ps 39 (40) | 13 verses | E, F, a, e
SL - 092 - JAZ BOM PEL - Ps 56 (57).chordpro | JAZ BOM PEL - Ps 56 (57) | 13 verses | A, D, G, e, fis
SL - 093 - ZAKAJ SE LJUDSTVA UPIRAJO - Ps 2.chordpro | ZAKAJ SE LJUDSTVA UPIRAJO? - Ps 2 | 6 verses | H7, a, e
SL - 094 - KAKOR KOŠUTA HREPENI - Ps 41-42 (42-43).chordpro | KAKOR KOŠUTA HREPENI - Ps 41-42 (42-43) | 5 verses | A, A7, D, FIS, G, GIS, H7, e, h
SL - 095 - PRITRJUJTE GOSPODU - Ps 99 (100).chordpro | PRITRJUJTE GOSPODU - Ps 99 (100) | 9 verses | A7, F, G, d, e, g
SL - 096 - VRISKAJTE IN POJTE (Iz 12,1 sl).chordpro | VRISKAJTE IN POJTE (Iz 12,1 sl) | 7 verses | E, F, G, a
SL - 097 - KO SE ZBUDIM - Ps 16 (17).chordpro | KO SE ZBUDIM * - Ps 16 (17) | 9 verses | E, F, a, d
SL - 098 - PESEM OTROK MED VELIKONOÈNO VIGILIJO.chordpro | PESEM OTROK MED VELIKONOÈNO VIGILIJO | 22 verses | E, a, d
SL - 099 - NE BOM UMRL, AMPAK ŽIVEL - Ps 117 (118).chordpro | NE BOM UMRL, AMPAK ŽIVEL - Ps 117 (118) | 71 verses | C, G, H, H7, e
SL - 100 - RECITE NJIM, KI SO OBUPANEGA SRCA (Iz 35,4-10).chordpro | RECITE NJIM, KI SO OBUPANEGA SRCA (Iz 35,4-10) | 8 verses | C, E, F, a, d, e
